gene_id	gene_name	MFM1-D	MFM1-V	MFM2-D	MFM3-D	MFM3-V	MFM4-D	MFM4-V	MFM5-D	MFM5-V	MFM6-D	MFM6-V
ENSG00000000419	DPM1	105.9003972971461	99.7124592247265	119.37242051230552	108.60943876757332	113.73060979679158	109.0367570599684	121.99258840067559	119.19786425178962	126.38849729588215	117.05742903075024	128.06032365935914
ENSG00000000457	SCYL3	19.01274513563403	26.448517587545375	19.701304937264897	18.62855405019296	25.01653768429943	18.188055215529527	25.293568985207354	18.22566794003014	28.647954248495928	19.023236759836802	29.340768951735924
ENSG00000000460	C1orf112	22.929669313976266	23.49485007260329	16.848650552728035	21.212319298026717	22.68156599451113	19.65096533395945	21.812321002339225	19.568008852455403	21.650325150078654	21.10693553851766	24.186381093603075
ENSG00000001036	FUCA2	112.51309940682727	127.82010922411223	140.30122615504797	118.52579728764657	105.51975156719682	102.8948241053015	110.75035038633551	100.96513039446806	107.72935719806414	103.39571321031151	107.0276311552624
ENSG00000001084	GCLC	27.871030030346233	20.52316761815085	22.119697640842535	28.60497178353938	20.698416341722126	32.186388723387296	24.179607181730198	29.8125337379765	20.24027156321853	28.154268794214936	19.722849649190994
ENSG00000001167	NFYA	27.31102657063306	28.60497178353938	27.05166395720118	27.994918020967404	28.901799643313684	33.28620335874647	29.309761877414708	29.853042013592415	31.580862397210982	30.785484660650678	31.710873743141036
ENSG00000001460	STPG1	14.82465264812265	14.621477053121534	13.888807063062417	12.27687919254561	14.760462286932258	14.773059061593475	13.91672058091279	14.541849276662868	15.353615455367065	12.9081432102597	14.61137432448015
ENSG00000001461	NIPAL3	106.479782996445	120.87205843655295	93.18447170975415	117.62746070729042	122.38761414876612	114.70463405030041	116.23001195906635	99.45578711868588	107.41051470344864	107.80300296217581	103.55795925165921
ENSG00000001497	LAS1L	145.29565437192474	149.0276160664503	175.75434242900545	148.96558769026618	159.75802987325682	164.78703910053105	167.73606445163335	159.67307633135422	151.65475642121714	164.06344435036831	172.7638941360247
ENSG00000001561	ENPP4	12.782246375931313	13.046332160213366	11.908542073896035	9.475614470443634	8.172632453869122	10.693818781476049	10.077254932060113	9.657287883220308	9.411216064139877	12.636341247274956	13.111540276775727
ENSG00000001617	SEMA3F	84.14632810663572	113.27649999277112	87.56596725024643	90.98048120994838	107.19461134940563	77.60310340317623	108.13374994654092	87.36867774352716	115.82616790165376	83.42721006122572	116.35808455254912
ENSG00000001626	CFTR	2.30285847227375	2.918253407576394	2.7686315733155538	3.4243782149115627	4.329169265175786	2.3281879764658133	3.669212555412422	1.1319559340187837	3.4898362668562064	1.753420693102218	2.5947028353823733
ENSG00000001629	ANKIB1	113.768248734859	108.098206333143	83.9811601200483	127.54314217060353	129.84579535808777	119.91949994057146	114.62824246322633	124.46307569172349	124.74039114657684	123.95746808367616	104.59811409927687
ENSG00000001630	CYP51A1	5.181814508955835	3.611184299987616	4.8645999627397805	3.935518134008955	3.0014957383115526	4.210900719862313	2.396427341139682	4.663640772615164	3.6244005676822653	5.122227317855002	2.6611841237978204
ENSG00000001631	KRIT1	9.760313753066887	11.821217390657882	13.341919107612304	11.451563894057774	16.05422137356497	13.068954162191286	14.80625648543232	11.42441970489168	12.849544217443583	11.230135889219587	10.550414057416097
ENSG00000002016	RAD52	20.65787979292346	19.090234042761125	18.271236541663292	17.870534979647392	20.200429598113068	16.635216662949365	20.18352206850916	21.371859773359134	22.099960511824122	20.11480118552491	16.434550406611468
ENSG00000002330	BAD	66.36505768518167	66.7049410872226	59.25694979579138	54.0683312567816	59.33318757891481	52.959645070509595	53.64358985357489	57.32965074462856	51.346673857134306	52.94715385510396	59.473107962313456
ENSG00000002549	LAP3	57.59693403514937	55.13158160755511	54.14644764157682	63.85725567785751	58.754889478677306	65.1160174539409	54.68957526031221	59.1015636178064	55.51063844237917	58.900388367320126	59.606549887808946
ENSG00000002586	CD99	115.24674222206826	120.65630383371584	115.77820745723899	141.94007688872958	114.43199766520425	117.75220247634041	123.49787230884282	112.62183701404713	122.823356126296	111.75573247712443	114.27632555991116
ENSG00000002834	LASP1	103.55795925165921	145.08627028636351	104.59811409927687	131.29138079660012	143.80817495808876	109.75472468286756	145.02453360541543	102.70205898705457	133.9511945626942	106.07114724767573	152.86073206343863
ENSG00000002919	SNX11	20.61724580103499	20.57074214405602	19.40524953300953	15.404527167294544	15.980097223596799	14.146506742698183	17.921994936741825	16.454232019516066	13.557162526172295	18.271236541663292	17.994804546255903
ENSG00000003056	M6PR	118.60894729162993	113.65738304385117	88.26450438379713	124.32188738071316	114.93658690474282	117.83745510857221	93.58730069324244	124.69070699734414	116.72981645717694	131.6088010254845	104.93392793120013
ENSG00000003096	KLHL13	5.860799726917882	7.712341760310929	7.242546975427106	4.988507625210892	7.816398154770864	6.008782309193395	6.923570798051292	5.056842603040432	5.998223034848193	5.860799726917882	7.87499360045972
ENSG00000003147	ICA1	55.93333889502401	57.214723893630634	56.48457872993148	52.88534043565757	49.98363716555859	52.21115333185834	60.45737566715867	57.9269014265573	53.742114877046106	53.90089342291592	57.34299876214396
ENSG00000003249	DBNDD1	32.36641463029735	37.445836739842804	35.78917836697533	47.87935067849964	37.55034274414145	38.806738183489934	40.21945408027634	36.95007875586039	34.15389198991688	39.068866645027576	41.819804269419706
ENSG00000003393	ALS2	37.191370450024365	35.37317943266417	32.780570844487364	37.12047894086951	40.21945408027634	36.50300394400709	39.66642725709957	38.39323632477799	38.47498543756433	38.64456172308207	36.59730969936218
